,customer_id,age,monthly_salary,account_balance,marital_status,targeted_customer_yn,default_yn,house_loan_yn,other_loan_yn,contact_carrier,day_of_contact,campaign,last_contacted_days,total_previous_contact,last_contact_outcome,customer_responded_yn,job,education,month_of_contact,year_of_contact,call_duration_sec,loan_yn
32,33,60,50000,39,2,1,0,1,1,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,208,1
33,34,59,20000,0,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,226,1
34,35,51,100000,10635,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,336,1
35,36,57,60000,63,3,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,242,1
36,37,25,20000,-7,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,365,1
37,38,53,60000,-3,2,1,0,0,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,1666,0
38,39,36,50000,506,3,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,577,1
39,40,37,50000,0,1,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,137,1
40,41,44,70000,2586,3,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,160,1
41,42,50,100000,49,2,1,0,1,0,,5,2,-1,0,,0.0,6.0,2.0,5.0,2017,180,1
42,43,60,20000,104,2,0,0,1,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,22,1
43,44,54,55000,529,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,2.0,5.0,2017,1492,1
44,45,58,55000,96,2,0,0,1,0,,5,1,-1,0,,0.0,11.0,,5.0,2017,616,1
45,46,36,50000,-171,1,1,0,1,0,,5,1,-1,0,,0.0,8.0,1.0,5.0,2017,242,1
46,47,58,60000,-364,2,1,0,1,0,,5,1,-1,0,,0.0,2.0,3.0,5.0,2017,355,1
47,48,44,60000,0,2,1,0,1,0,,5,2,-1,0,,0.0,5.0,2.0,5.0,2017,225,1
48,49,55,60000,0,3,1,0,0,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,160,0
49,50,29,100000,0,1,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,363,1
50,51,54,20000,1291,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,266,1
51,52,48,100000,-244,3,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,253,1
52,53,32,100000,0,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,179,1
53,54,42,50000,-76,1,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,787,1
54,55,24,60000,-103,1,1,0,1,1,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,145,1
55,56,38,120000,243,1,0,0,0,1,,5,1,-1,0,,0.0,4.0,3.0,5.0,2017,174,1
56,57,38,100000,424,1,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,104,1
57,58,47,20000,306,2,0,0,1,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,13,1
58,59,40,20000,24,1,0,0,1,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,185,1
59,60,46,70000,179,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,1.0,5.0,2017,1778,1
60,61,32,50000,0,2,1,0,1,0,,5,1,-1,0,,0.0,8.0,3.0,5.0,2017,138,1
61,62,53,60000,989,3,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,812,1
62,63,57,20000,249,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,164,1
63,64,33,70000,790,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,391,1
64,65,49,20000,154,2,0,0,1,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,357,1
65,66,51,100000,6530,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,91,1
66,67,60,55000,100,2,1,0,0,0,,5,1,-1,0,,0.0,11.0,3.0,5.0,2017,528,0
67,68,59,100000,59,3,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,273,1
68,69,55,60000,1205,2,1,0,1,0,,5,2,-1,0,,0.0,5.0,2.0,5.0,2017,158,1
69,70,35,20000,12223,1,1,0,1,1,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,177,1
70,71,57,20000,5935,2,1,0,1,1,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,258,1
71,72,31,70000,25,2,1,0,1,1,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,172,1
72,73,54,100000,282,2,1,0,1,1,,5,1,-1,0,,0.0,6.0,2.0,5.0,2017,154,1
73,74,55,20000,23,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,291,1
74,75,43,60000,1937,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,181,1
75,76,53,60000,384,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,176,1
76,77,44,20000,582,2,1,0,0,1,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,211,1
77,78,55,70000,91,3,1,0,0,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,349,0
78,79,49,70000,0,3,1,0,1,1,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,272,1
79,80,55,70000,1,3,1,1,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,208,1
80,81,45,50000,206,1,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,193,1
81,82,47,70000,164,3,1,0,0,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,212,0
82,83,42,60000,690,1,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,20,1
83,84,59,50000,2343,2,1,0,1,0,,5,1,-1,0,,1.0,8.0,2.0,5.0,2017,1042,1
84,85,46,60000,137,2,1,0,1,1,,5,1,-1,0,,0.0,2.0,3.0,5.0,2017,246,1
85,86,51,20000,173,2,1,0,1,0,,5,2,-1,0,,0.0,7.0,1.0,5.0,2017,529,1
86,87,56,50000,45,2,1,0,0,0,,5,1,-1,0,,1.0,8.0,2.0,5.0,2017,1467,0
87,88,41,60000,1270,2,1,0,1,0,,5,1,-1,0,,1.0,5.0,2.0,5.0,2017,1389,1
88,89,46,100000,16,3,1,0,1,1,,5,2,-1,0,,0.0,6.0,2.0,5.0,2017,188,1
89,90,57,55000,486,2,1,0,1,0,,5,2,-1,0,,0.0,11.0,2.0,5.0,2017,180,1
90,91,42,100000,50,1,1,0,0,0,,5,1,-1,0,,0.0,6.0,2.0,5.0,2017,48,0
91,92,30,60000,152,2,1,0,1,1,,5,2,-1,0,,0.0,5.0,2.0,5.0,2017,213,1
92,93,60,50000,290,2,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,583,1
93,94,60,20000,54,2,0,0,1,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,221,1
94,95,57,120000,-37,3,1,0,0,0,,5,1,-1,0,,0.0,4.0,2.0,5.0,2017,173,0
95,96,36,100000,101,2,1,0,1,1,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,426,1
96,97,55,20000,383,2,1,0,0,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,287,0
97,98,60,55000,81,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,3.0,5.0,2017,101,1
98,99,39,60000,0,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,203,1
99,100,46,100000,229,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,197,1
100,101,44,20000,-674,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,257,1
101,102,53,20000,90,2,1,0,0,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,124,0
102,103,52,20000,128,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,229,1
103,104,59,20000,179,2,1,0,1,0,,5,3,-1,0,,0.0,7.0,1.0,5.0,2017,55,1
104,105,27,60000,0,1,0,0,1,0,,5,1,-1,0,,0.0,5.0,3.0,5.0,2017,400,1
105,106,44,20000,54,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,197,1
106,107,47,60000,151,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,3.0,5.0,2017,190,1
107,108,34,50000,61,2,1,0,0,1,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,21,1
108,109,59,55000,30,1,1,0,1,0,,5,1,-1,0,,0.0,11.0,2.0,5.0,2017,514,1
109,110,45,100000,523,2,1,0,1,0,,5,2,-1,0,,0.0,6.0,3.0,5.0,2017,849,1
110,111,29,70000,31,3,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,194,1
111,112,46,60000,79,3,1,0,0,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,144,0
112,113,56,60000,-34,2,1,0,1,1,,5,2,-1,0,,0.0,2.0,1.0,5.0,2017,212,1
113,114,36,20000,448,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,286,1
114,115,59,55000,81,3,1,0,1,0,,5,1,-1,0,,0.0,11.0,1.0,5.0,2017,107,1
115,116,44,20000,144,2,1,0,1,0,,5,2,-1,0,,0.0,7.0,2.0,5.0,2017,247,1
116,117,41,50000,351,2,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,518,1
117,118,33,100000,-67,1,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,364,1
118,119,59,100000,262,3,0,0,0,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,178,0
119,120,57,60000,0,2,1,0,0,0,,5,1,-1,0,,0.0,5.0,1.0,5.0,2017,98,0
120,121,56,60000,56,3,0,0,1,0,,5,1,-1,0,,0.0,5.0,,5.0,2017,439,1
121,122,51,20000,26,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,79,1
122,123,34,50000,3,2,0,0,1,0,,5,3,-1,0,,0.0,8.0,,5.0,2017,120,1
123,124,43,70000,41,2,1,0,1,1,,5,2,-1,0,,0.0,9.0,2.0,5.0,2017,127,1
124,125,52,60000,7,2,1,0,0,1,,5,1,-1,0,,0.0,5.0,3.0,5.0,2017,175,1
125,126,33,60000,105,1,1,0,1,0,,5,2,-1,0,,0.0,5.0,2.0,5.0,2017,262,1
126,127,29,50000,818,1,1,0,1,1,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,61,1
127,128,34,70000,-16,2,1,0,1,1,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,78,1
128,129,31,20000,0,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,143,1
129,130,55,70000,2476,2,1,0,1,0,,5,1,-1,0,,1.0,9.0,2.0,5.0,2017,579,1
130,131,55,100000,1185,2,0,0,0,0,,5,1,-1,0,,0.0,6.0,,5.0,2017,677,0
131,132,32,50000,217,1,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,345,1
132,133,38,60000,1685,1,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,185,1
133,134,55,50000,802,1,1,0,1,1,,5,2,-1,0,,0.0,8.0,2.0,5.0,2017,100,1
134,135,28,8000,0,1,0,0,1,0,,5,2,-1,0,,0.0,1.0,3.0,5.0,2017,125,1
135,136,23,20000,94,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,193,1
136,137,32,60000,0,1,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,136,1
137,138,43,70000,0,1,0,0,0,0,,5,1,-1,0,,0.0,9.0,,5.0,2017,73,0
138,139,32,20000,517,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,528,1
139,140,46,20000,265,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,541,1
140,141,53,16000,947,3,1,0,1,0,,5,1,-1,0,,0.0,10.0,1.0,5.0,2017,163,1
141,142,34,60000,3,1,1,0,1,0,,5,1,-1,0,,0.0,2.0,2.0,5.0,2017,301,1
142,143,57,8000,42,2,1,0,0,0,,5,1,-1,0,,0.0,1.0,3.0,5.0,2017,46,0
143,144,37,20000,37,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,204,1
144,145,59,20000,57,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,98,1
145,146,33,70000,22,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,71,1
146,147,56,20000,8,3,1,0,1,0,,5,2,-1,0,,0.0,7.0,1.0,5.0,2017,157,1
147,148,48,8000,293,2,1,0,1,0,,5,1,-1,0,,0.0,1.0,2.0,5.0,2017,243,1
148,149,43,70000,3,2,1,0,1,0,,5,2,-1,0,,0.0,9.0,1.0,5.0,2017,186,1
149,150,54,20000,348,2,1,0,1,0,,5,2,-1,0,,0.0,7.0,1.0,5.0,2017,579,1
150,151,51,20000,-19,2,0,0,1,0,,5,2,-1,0,,0.0,7.0,,5.0,2017,163,1
151,152,26,4000,0,1,1,0,1,0,,5,2,-1,0,,0.0,3.0,2.0,5.0,2017,610,1
152,153,40,100000,-4,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,2033,1
153,154,39,100000,18,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,2.0,5.0,2017,85,1
154,155,50,60000,139,2,1,0,0,0,,5,2,-1,0,,0.0,5.0,1.0,5.0,2017,114,0
155,156,41,70000,0,2,1,0,1,0,,5,2,-1,0,,0.0,9.0,2.0,5.0,2017,114,1
156,157,51,20000,1883,2,0,0,1,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,57,1
157,158,60,55000,216,3,1,0,1,0,,5,1,-1,0,,0.0,11.0,2.0,5.0,2017,238,1
158,159,52,20000,782,2,1,0,1,0,,5,3,-1,0,,0.0,7.0,2.0,5.0,2017,93,1
159,160,48,20000,904,2,1,0,1,0,,5,2,-1,0,,0.0,7.0,2.0,5.0,2017,128,1
160,161,48,70000,1705,2,0,0,1,0,,5,1,-1,0,,0.0,9.0,,5.0,2017,107,1
161,162,,60000,47,1,0,0,1,0,,5,1,-1,0,,0.0,5.0,3.0,5.0,2017,181,1
162,163,47,70000,176,1,1,0,1,0,,5,2,-1,0,,0.0,9.0,2.0,5.0,2017,303,1
163,164,40,20000,1225,2,1,0,1,0,,5,5,-1,0,,0.0,7.0,2.0,5.0,2017,558,1
164,165,45,60000,86,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,270,1
165,166,26,50000,82,1,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,228,1
166,167,52,100000,271,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,99,1
167,168,54,60000,1378,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,240,1
168,169,54,50000,184,2,1,0,0,0,,5,2,-1,0,,1.0,8.0,3.0,5.0,2017,673,0
169,170,50,20000,0,2,1,0,0,0,,5,3,-1,0,,0.0,7.0,1.0,5.0,2017,233,0
170,171,35,20000,0,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,1056,1
171,172,44,70000,1357,2,1,0,1,1,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,250,1
172,173,53,120000,19,2,0,0,1,0,,5,1,-1,0,,0.0,4.0,,5.0,2017,252,1
173,174,35,55000,434,1,1,0,0,0,,5,1,-1,0,,0.0,11.0,1.0,5.0,2017,138,0
174,175,60,50000,92,3,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,130,1
175,176,53,50000,1151,3,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,412,1
176,177,48,8000,41,2,1,0,1,0,,5,2,-1,0,,0.0,1.0,2.0,5.0,2017,179,1
177,178,34,60000,51,2,1,0,1,0,,5,2,-1,0,,0.0,5.0,2.0,5.0,2017,19,1
178,179,54,70000,214,2,1,0,1,0,,5,2,-1,0,,0.0,9.0,2.0,5.0,2017,458,1
179,180,51,100000,1161,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,2.0,5.0,2017,717,1
180,181,31,70000,37,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,3.0,5.0,2017,313,1
181,182,35,60000,787,3,1,0,1,0,,5,2,-1,0,,0.0,5.0,2.0,5.0,2017,683,1
182,183,35,70000,59,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,1077,1
183,184,38,60000,253,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,416,1
184,185,36,50000,211,2,1,0,1,0,,5,2,-1,0,,0.0,8.0,3.0,5.0,2017,146,1
185,186,58,55000,235,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,1.0,5.0,2017,167,1
186,187,40,70000,4384,3,0,0,1,0,,5,1,-1,0,,0.0,9.0,,5.0,2017,315,1
187,188,54,100000,4080,2,1,0,0,0,,5,1,-1,0,,0.0,6.0,2.0,5.0,2017,140,0
188,189,34,20000,53,1,1,0,1,1,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,346,1
189,190,31,100000,0,1,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,,-1,562,1
190,191,51,55000,2127,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,2.0,5.0,2017,172,1
191,192,33,100000,377,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,217,1
192,193,55,100000,73,2,1,0,1,0,,5,2,-1,0,,0.0,6.0,3.0,5.0,2017,142,1
193,194,42,50000,445,2,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,67,1
194,195,34,20000,243,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,291,1
195,196,33,20000,307,1,1,0,1,0,,5,2,-1,0,,0.0,7.0,2.0,5.0,2017,309,1
196,197,38,70000,155,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,248,1
197,198,50,60000,173,3,0,0,0,1,,5,1,-1,0,,0.0,5.0,3.0,5.0,2017,98,1
198,199,43,100000,400,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,256,1
199,200,61,20000,1428,3,1,0,1,0,,5,2,-1,0,,0.0,7.0,1.0,5.0,2017,82,1
200,201,47,50000,219,2,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,577,1
201,202,48,60000,7,2,1,0,1,0,,5,1,-1,0,,0.0,2.0,3.0,5.0,2017,286,1
202,203,44,20000,575,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,477,1
203,204,35,4000,298,1,0,0,1,0,,5,2,-1,0,,0.0,3.0,,5.0,2017,611,1
204,205,35,70000,0,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,471,1
205,206,50,70000,5699,2,1,0,1,0,,5,2,-1,0,,0.0,9.0,2.0,5.0,2017,381,1
206,207,41,100000,176,2,1,0,1,1,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,42,1
207,208,41,100000,517,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,251,1
208,209,39,70000,257,1,0,0,1,0,,5,1,-1,0,,0.0,9.0,,5.0,2017,408,1
209,210,42,55000,56,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,2.0,5.0,2017,215,1
210,211,38,20000,-390,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,287,1
211,212,53,55000,330,2,1,0,1,0,,5,2,-1,0,,0.0,11.0,2.0,5.0,2017,216,1
212,213,59,16000,195,3,1,0,0,0,,5,2,-1,0,,0.0,10.0,1.0,5.0,2017,366,0
213,214,36,70000,301,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,210,1
214,215,54,20000,-41,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,288,1
215,216,40,60000,483,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,3.0,5.0,2017,168,1
216,217,47,0,28,2,0,0,0,0,,5,2,-1,0,,0.0,,,5.0,2017,338,0
217,218,53,8000,13,2,0,0,0,0,,5,3,-1,0,,0.0,1.0,,5.0,2017,410,0
218,219,46,16000,965,2,1,0,0,0,,5,1,-1,0,,0.0,10.0,1.0,5.0,2017,177,0
219,220,39,100000,378,2,1,0,1,1,,5,2,-1,0,,0.0,6.0,3.0,5.0,2017,127,1
220,221,40,8000,219,2,1,0,1,0,,5,1,-1,0,,0.0,1.0,2.0,5.0,2017,357,1
221,222,28,20000,324,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,175,1
222,223,35,120000,-69,3,1,0,1,0,,5,1,-1,0,,0.0,4.0,2.0,5.0,2017,300,1
223,224,55,55000,0,2,1,0,0,1,,5,1,-1,0,,0.0,11.0,2.0,5.0,2017,136,1
224,225,43,60000,205,3,0,0,1,0,,5,1,-1,0,,0.0,5.0,,5.0,2017,1419,1
225,226,48,20000,278,2,1,0,1,0,,5,2,-1,0,,0.0,7.0,1.0,5.0,2017,125,1
226,227,58,100000,1065,2,0,0,1,0,,5,3,-1,0,,0.0,6.0,,5.0,2017,213,1
227,228,33,100000,34,1,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,27,1
228,229,36,20000,1033,2,0,0,0,0,,5,2,-1,0,,0.0,7.0,,5.0,2017,238,0
229,230,53,70000,1467,3,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,124,1
230,231,47,20000,-12,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,18,1
231,232,31,70000,388,2,1,0,1,0,,5,2,-1,0,,0.0,9.0,2.0,5.0,2017,730,1
232,233,57,120000,294,2,1,0,1,0,,5,2,-1,0,,0.0,4.0,2.0,5.0,2017,746,1
233,234,53,20000,1827,2,0,0,0,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,121,0
234,235,55,20000,627,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,247,1
235,236,45,20000,25,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,40,1
236,237,53,50000,315,3,1,0,1,0,,5,2,-1,0,,0.0,8.0,2.0,5.0,2017,181,1
237,238,37,20000,0,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,79,1
238,239,44,50000,66,3,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,206,1
239,240,49,20000,-9,3,1,0,1,1,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,389,1
240,241,46,60000,349,2,1,0,1,1,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,127,1
241,242,43,120000,100,2,0,0,1,0,,5,1,-1,0,,0.0,4.0,,5.0,2017,702,1
242,243,38,50000,0,2,1,0,0,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,151,0
243,244,43,60000,434,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,117,1
244,245,49,100000,3237,2,1,0,1,0,,5,3,-1,0,,0.0,6.0,3.0,5.0,2017,232,1
245,246,42,100000,275,2,0,0,0,0,,5,2,-1,0,,0.0,6.0,,5.0,2017,408,0
246,247,22,20000,0,1,1,0,1,0,,5,2,-1,0,,0.0,7.0,2.0,5.0,2017,179,1
247,248,40,100000,207,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,39,1
248,249,39,20000,483,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,282,1
249,250,51,70000,2248,2,1,0,1,0,,5,2,-1,0,,0.0,9.0,2.0,5.0,2017,714,1
